# This document produced by structureHarvester core version vB.1 July 2022
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vB.1 July 2022
# File generated at 2023-Sep-09 22:41:55 EDT
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	10	-275915.790000	35.155510
2	10	-266991.560000	7.890670
3	10	-265950.900000	20.000111
4	10	-266507.280000	332.729636
5	10	-306063.340000	72640.220771
6	10	-267299.720000	666.304273
7	10	-269712.030000	503.409147
8	10	-271162.850000	1116.023690

##########
# File name	Run #	K	Est. Ln prob. of data	Mean value of Ln likelihood	Variance of Ln likelihood
Cerrub.AC4.37_0.2_5_20.0.k5.6.res_f		5	-266982.3	-258274.9	17414.9
Cerrub.AC4.37_0.2_5_20.0.k5.5.res_f		5	-267074.4	-258265.2	17618.3
Cerrub.AC4.37_0.2_5_20.0.k5.7.res_f		5	-267018.5	-258250.8	17535.6
Cerrub.AC4.37_0.2_5_20.0.k5.8.res_f		5	-342143.9	-258165.2	167957.4
Cerrub.AC4.37_0.2_5_20.0.k5.3.res_f		5	-267289.0	-258270.1	18037.9
Cerrub.AC4.37_0.2_5_20.0.k5.4.res_f		5	-266904.7	-258325.1	17159.3
Cerrub.AC4.37_0.2_5_20.0.k5.2.res_f		5	-266873.0	-258259.3	17227.4

Software written by Dent Earl while at EEB Dept, UCLA, BME Dept UCSC
dearl (a) soe ucsc edu
CITATION:
Earl, Dent A. and vonHoldt, Bridgett M. (2012)
STRUCTURE HARVESTER: a website and program for visualizing
STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
Core version: vB.1 July 2022
