FFQ	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18212	18164	89293	0	0	0	0	0	0	0	2225	2669	25525	10430	29266	41124	185	31681	2613	49282	62442	45744	108408	149620	1888516	0
FFQ	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18727	16519	87960	0	0	0	0	0	0	0	2767	4531	22668	12070	27759	41090	321	30836	2615	47944	63544	45562	106520	151344	1892622	0
FFQ	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18928	15978	86882	0	0	0	0	0	0	0	3522	7500	19510	13247	25959	40428	460	30249	2559	48256	62853	44988	104807	149170	1900103	0
FFQ	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17640	16581	85812	0	0	0	0	0	0	0	3799	11315	14857	14506	24102	40002	765	29182	2548	46750	61481	44976	104529	149218	1907336	0
FFQ	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17206	17562	86351	0	0	0	0	0	0	0	3929	15094	10281	16315	21946	40660	1059	28896	2476	46540	61705	44598	104552	148321	1907908	0
FFQ	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17190	16619	84644	0	0	0	0	0	0	0	4026	19334	6289	18184	20419	39640	1341	27842	2522	46186	60538	44584	102940	147360	1915741	0
FFQ	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16735	15988	82923	0	0	0	0	0	0	0	4269	22744	3104	19392	19177	39028	1524	27060	2444	45818	60318	45182	101480	145094	1923119	0
FFQ	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17136	16314	83746	0	0	0	0	0	0	0	4190	24389	1217	20181	18170	39136	1683	27031	2379	46289	60185	45587	100921	145865	1920980	0
FFQ	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16953	15703	80957	0	0	0	0	0	0	0	4312	25064	372	20702	17631	38355	1934	26684	2663	45509	60811	46191	101280	145924	1924354	0
FFQ	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16633	16618	81323	0	0	0	0	0	0	0	4165	25373	161	20522	17625	38818	1800	26856	2597	46122	60237	46329	101223	145873	1923124	0
FFQ	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17240	16231	81987	0	0	0	0	0	0	0	4349	24612	154	20578	17437	39288	1839	26692	2633	46489	59289	45965	101737	147129	1921750	0
FFQ	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16835	15186	79155	0	0	0	0	0	0	0	4197	24773	163	20698	17837	37645	1868	26270	2474	45196	58625	45650	98856	146513	1933458	0
FFQ	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16238	15278	79094	0	0	0	0	0	0	0	4084	24631	168	19896	17222	37363	1822	26452	2445	44721	59473	45828	99756	144344	1936584	0
FFQ	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17467	15622	82853	0	0	0	0	0	0	0	4228	24874	224	20298	17582	38134	1875	25962	2359	44763	58733	45717	99497	145633	1929578	0
FFQ	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15888	15568	78599	0	0	0	0	0	0	0	4160	24626	203	20411	18789	38409	2590	26067	2294	44362	57568	44981	97712	143209	1939963	0
FFQ	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14950	15164	77994	0	0	0	0	0	0	0	4014	24866	207	19616	17525	37013	1990	26086	2353	42789	58318	44856	99401	143850	1944407	0
FFQ	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15456	14523	75601	0	0	0	0	0	0	0	3964	24031	230	19330	16875	35434	1752	25336	2294	43377	57648	45407	96708	144151	1953282	0
FFQ	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15475	14927	75313	0	0	0	0	0	0	0	4015	23375	216	18909	16560	35795	1702	25790	2323	43678	56906	45319	96502	141870	1956724	0
FFQ	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15271	14937	75570	0	0	0	0	0	0	0	3991	23861	237	18909	16292	36217	1808	25679	2346	43182	56769	45236	95273	140247	1959574	0
FFQ	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16066	15052	74400	0	0	0	0	0	0	0	4115	23587	234	19184	16149	35905	1696	25551	2453	43328	56439	44920	95930	140593	1959797	0
FFQ	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15958	14052	72555	0	0	0	0	0	0	0	4054	23442	309	19157	16083	34821	1683	25149	2670	42753	55705	45013	93931	141222	1966842	0
FFQ	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14720	14018	72528	0	0	0	0	0	0	0	3992	23199	260	18600	16103	33960	1740	25259	2487	41817	55858	45069	93432	138617	1973740	0
FFQ	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15102	14690	70431	0	0	0	0	0	0	0	3945	22841	259	18624	15661	33699	1633	25204	2462	42007	54706	44525	92668	138369	1978573	0
FFQ	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14813	14204	70147	0	0	0	0	0	0	0	3972	23016	277	18180	15663	33845	1655	25267	2334	42235	55225	44722	92653	138074	1979117	0
FFQ	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15091	14410	69369	0	0	0	0	0	0	0	4132	22776	319	18076	15492	33464	1682	24708	2279	41810	55391	45244	91422	137726	1982008	0
FFQ	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14924	14096	70523	0	0	0	0	0	0	0	3970	22504	314	18006	15222	33687	1646	24806	2373	41017	54794	45040	92429	137071	1982977	0
FFQ	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13918	13827	69815	0	0	0	0	0	0	0	3921	22565	309	17589	15379	33145	1568	24265	2279	40228	54766	44262	92140	136321	1989102	0
FFQ	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15127	14895	71296	0	0	0	0	0	0	0	3934	22367	357	17375	14683	32784	1562	24507	2300	40184	53282	43795	90078	133062	1960293	0
FFQ	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14604	13337	66183	0	0	0	0	0	0	0	4049	21469	366	17822	15870	33402	2251	23455	2274	39627	51853	42954	88441	131337	1934864	0
FFQ	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13762	13188	66127	0	0	0	0	0	0	0	3763	21079	391	16794	14779	31669	1602	23854	2260	38886	52196	42616	89279	129710	1908326	0
FFQ	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13657	13240	63694	0	0	0	0	0	0	0	3820	20329	371	16442	13650	30791	1501	23167	2247	37463	50965	42099	85510	128087	1861356	0
FFQ	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13140	12588	61710	0	0	0	0	0	0	0	3570	20085	387	15927	13638	29733	1455	22459	2203	37042	49794	41673	83679	124839	1844349	0
FFQ	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12613	12257	60539	0	0	0	0	0	0	0	3457	19433	344	15491	13100	29163	1430	22124	2190	35932	49057	40957	81594	122494	1807840	0
FFQ	47	0	0	0	0	0	0	0	0	0	0	0	0	0	17	12143	12245	59042	0	0	0	0	2	3	46	3375	19326	350	15026	12630	28490	1378	21355	1945	34743	47971	39847	79712	120524	1780341	0
FFQ	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11430	12186	58700	0	0	0	0	0	0	0	3330	19048	378	14568	12482	27968	1423	21234	1995	34730	47018	39526	78579	118785	1757449	0
FFQ	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11502	12375	56117	0	0	0	0	0	0	0	3282	18467	377	14179	12456	27580	1388	20934	1979	33739	46651	38418	77831	116498	1732571	0
FFQ	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11841	11862	56243	0	0	0	0	0	0	0	3430	18280	425	14404	12162	27129	1357	20810	2055	33502	46240	39121	76823	115660	1707621	0
FFQ	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12070	12284	57387	0	0	0	0	0	0	0	3340	18243	470	14194	11949	26705	1339	20507	1923	33199	46244	38236	76401	113918	1683385	0
FFQ	52	0	0	0	0	0	0	0	0	0	0	0	0	0	14	11147	11921	53204	0	0	0	0	2	2	28	3245	17718	470	14041	12869	27093	1752	20209	1922	32038	45407	37421	74748	111567	1669005	0
FFQ	53	0	0	0	0	0	0	0	0	0	0	0	0	0	22	10779	11715	52909	0	0	0	0	6	3	64	3119	17549	402	13547	11929	26085	1421	20031	1982	31343	45138	37044	74836	110691	1647928	0
FFQ	54	0	0	0	0	0	0	0	0	0	0	0	0	0	65	10749	11551	52143	0	0	0	0	7	2	136	3020	17036	486	13274	11272	25783	1252	19923	1883	31238	44376	37203	73289	109460	1626451	0
FFQ	55	0	0	0	0	0	0	0	0	0	0	0	0	0	96	10608	13163	48756	0	0	0	0	23	12	217	3020	16801	703	12895	11164	25137	1212	19605	1878	31031	43521	36489	72438	107389	1598231	0
FFQ	56	0	0	0	0	0	0	0	0	0	0	0	0	0	228	10392	13024	47907	0	0	0	0	37	21	468	2659	16604	768	12468	10922	24725	1174	19196	1849	30302	42541	35711	70955	105035	1577720	0
FFQ	57	0	0	0	0	0	0	0	0	0	0	0	0	0	383	9939	13895	46476	0	0	0	0	76	61	748	2325	16093	837	12067	10594	24673	1213	18919	1878	29824	41770	35244	70082	103933	1551592	0
FFQ	58	0	0	0	0	0	0	0	0	0	0	0	0	0	331	9881	14343	45876	0	0	0	0	43	43	660	2533	16099	863	11872	10529	24399	1179	19013	1841	29493	42469	35215	70141	102681	1525227	0
FFQ	59	0	0	0	0	0	0	0	0	0	0	0	0	0	326	9891	13737	45799	0	0	0	0	73	52	631	2522	16135	817	12020	10495	23714	1247	18759	1903	29046	41769	34727	69437	102132	1499150	0
FFQ	60	0	0	0	0	0	0	0	0	0	0	0	0	0	483	9660	16470	42492	0	0	0	0	74	61	967	2351	15580	1122	11238	10596	23734	1294	18698	1787	28825	41363	34786	68454	100617	1478999	0
FFQ	61	0	0	0	0	0	0	0	0	0	0	0	0	0	584	9497	16864	40354	0	0	0	0	108	60	1008	2145	15306	1241	11238	10482	23474	1225	18285	1802	28053	40641	34134	67093	99254	1460849	0
FFQ	62	0	0	0	0	0	0	0	0	0	0	0	0	0	684	9361	18221	38529	0	0	0	0	110	78	1251	2044	15182	1388	10618	10033	22906	1180	18053	1741	28304	40183	33981	67446	98200	1437147	0
FFQ	63	0	0	0	0	0	0	0	0	0	0	0	0	0	831	9425	20847	34992	0	0	0	0	142	88	1424	2016	14933	1846	10147	10046	22982	1196	17574	1724	27831	40218	34052	65593	96550	1410696	0
FFQ	64	0	0	0	0	0	0	0	0	0	0	0	0	0	974	9077	22513	31617	0	0	0	0	170	98	1658	1858	14503	2153	9594	9733	22045	1142	17392	1731	27427	39366	33488	65039	95611	1392561	0
FFQ	65	0	0	0	0	0	0	0	0	0	0	0	0	0	969	8761	23777	30329	0	0	0	0	151	107	1578	1892	14080	2283	9295	9569	22158	1174	17354	1790	27087	38850	33172	64472	93324	1371046	0
FFQ	66	0	0	0	0	0	0	0	0	0	0	0	0	0	1013	9007	24165	30204	0	0	0	0	164	71	1616	2065	14054	2307	9288	9277	22342	1172	17587	1840	27626	39216	33380	64814	93971	1342535	0
FFQ	67	0	0	0	0	0	0	0	0	0	0	0	0	0	1175	8505	26363	26958	0	0	0	0	198	109	1736	1932	13904	2671	8910	9567	21928	1122	17393	1728	26922	39034	32868	63739	93180	1324776	0
FFQ	68	0	0	0	0	0	0	0	0	0	0	0	0	0	1308	8259	26876	25281	0	0	0	0	233	91	2015	1808	13685	2805	8372	9403	21443	1161	16983	1758	26012	38616	32682	62170	90577	1309752	0
FFQ	69	0	0	0	0	0	0	0	0	0	0	0	0	0	1276	8241	29234	22397	0	0	0	0	234	117	2011	1839	13524	3124	7943	9131	20951	1162	16709	1669	25952	38070	32802	61876	89794	1290643	0
FFQ	70	0	0	0	0	0	0	0	0	0	0	0	0	0	1680	7840	32498	18307	0	0	0	0	279	113	2395	1718	13343	3592	7076	9296	20743	1099	16826	1786	25389	37464	31905	60716	89064	1271514	0
FFQ	71	0	0	0	0	0	0	0	0	0	0	0	0	0	1644	7565	32810	17382	0	0	0	0	300	106	2546	1564	12691	3565	7100	8933	20296	1133	16279	1730	25472	37173	31573	60352	86671	1253646	0
FFQ	72	0	0	0	0	0	0	0	0	0	0	0	0	0	2029	7588	34074	15576	0	0	0	0	351	125	2821	1453	12551	3629	7093	8781	20401	1110	16551	1718	25495	36677	31814	59702	85822	1232474	0
FFQ	73	0	0	0	0	0	0	0	0	0	0	0	0	0	2027	7110	35655	12437	0	0	0	0	344	122	2865	1490	12498	4101	6079	8840	19641	1103	16372	1676	24144	36022	30689	58527	83778	1210040	0
FFQ	74	0	0	0	0	0	0	0	0	0	0	0	0	0	2133	6770	35998	11796	0	0	0	0	400	141	3072	1428	11811	3975	6162	8749	18724	1059	15801	1643	23724	35687	30407	57554	81089	1187928	0
FFQ	75	0	0	0	0	0	0	0	0	0	0	0	0	0	2405	6840	36188	10578	0	0	0	0	434	140	3415	1270	11537	3974	6089	8256	19104	1077	15722	1749	23834	35767	30685	56560	81164	1165759	0
FFQ	76	0	0	0	0	0	0	0	0	0	0	0	0	0	2651	8434	41169	12674	0	0	0	0	472	110	3483	1601	11845	4490	6478	8786	19214	1146	15722	1712	23577	35560	30628	56003	79875	1136187	0
FFQ	77	0	0	0	0	0	0	0	0	0	0	0	0	0	2916	6547	39401	6717	0	0	0	0	566	137	4031	1612	11992	5648	5589	11152	20527	1862	15416	1696	23000	35690	30597	56941	80033	1116959	0
FFQ	78	0	0	0	0	0	0	0	0	0	0	0	0	0	3181	5858	40175	5600	0	0	0	0	625	125	4207	1113	11138	5049	5243	9061	18655	1248	15571	1687	23003	35803	30460	56924	78792	1102771	0
FFQ	79	0	0	0	0	0	0	0	0	0	0	0	0	0	3371	5983	39867	4432	0	0	0	0	628	145	4236	1014	10399	4830	4942	8497	17586	995	15566	1746	22790	35372	30381	55089	78950	1085012	0
FFQ	80	0	0	0	0	0	0	0	0	0	0	0	0	0	3647	5849	41580	3033	0	0	0	0	711	108	4587	1055	10219	5096	4833	8419	17943	1025	15320	1760	23006	35693	30610	54875	76893	1085138	0
FFQ	81	0	0	0	0	0	0	0	0	0	0	0	0	0	3460	5640	41833	2718	0	0	0	0	710	145	4634	1051	10074	5112	4873	8396	17211	986	15792	1661	22549	35513	30932	54742	76656	1086026	0
FFQ	82	0	0	0	0	0	0	0	0	0	0	0	0	0	4153	5968	45605	2772	0	0	0	0	800	121	4982	1109	10192	5502	4684	8573	17289	934	15543	1780	22541	35165	30139	54634	75819	1081500	0
FFQ	83	0	0	0	0	0	0	0	0	0	0	0	0	0	3692	5222	42580	1293	0	0	0	0	816	164	5457	1315	10023	6055	4940	10713	17271	1414	15933	1643	22334	35855	31064	54914	76588	1079516	0
FFQ	84	0	0	0	0	0	0	0	0	0	0	0	0	0	3607	5110	43959	135	0	0	0	0	877	99	5410	1251	9695	6135	4239	9893	16815	1216	15977	1738	22599	36604	31145	55281	76277	1079673	0
FFQ	85	0	0	0	0	0	0	0	0	0	0	0	0	0	3918	5029	43386	132	0	0	0	0	918	93	5508	1125	9383	6001	4300	8967	16644	1005	15911	1544	22727	36390	31297	54566	76732	1081082	0
FFQ	86	0	0	0	0	0	0	0	0	0	0	0	0	0	4048	5393	42273	91	0	0	0	0	890	70	5861	1194	8694	5588	4585	8928	16310	901	16032	1589	23556	36397	31782	55236	76071	1079920	0
FFQ	87	0	0	0	0	0	0	0	0	0	0	0	0	0	4412	5884	42172	83	0	0	0	0	952	70	6147	1241	8303	5601	5073	8528	16339	860	15848	1544	24367	36263	32374	54448	75858	1077626	0
FFQ	88	0	0	0	0	0	0	0	0	0	0	0	0	0	4670	5860	40577	0	0	0	0	0	1113	78	6538	1296	7990	5449	5393	8429	16223	759	15734	1533	24748	36518	32719	53834	75548	1077153	0
FFQ	89	0	0	0	0	0	0	0	0	0	0	0	0	0	4092	5529	39924	48	0	0	0	0	1056	55	6984	1386	7494	5407	5663	8134	16381	790	16032	1939	24653	37645	33889	53391	74027	1074558	0
FFQ	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39608	0	0	0	0	0	1088	62	6950	1491	7359	5258	5871	8096	15962	707	16640	1794	24890	36976	34060	54089	74332	1072964	0
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
# GC Content of first fragments. Use `grep ^GCF | cut -f 2-` to extract this part.
GCF	3.27	0
GCF	7.04	1
GCF	10.30	0
GCF	13.57	2
GCF	14.32	4
GCF	14.82	7
GCF	15.33	8
GCF	15.83	6
GCF	16.33	7
GCF	16.83	13
GCF	17.34	20
GCF	17.84	18
GCF	18.34	12
GCF	18.84	36
GCF	19.35	34
GCF	19.85	43
GCF	20.35	47
GCF	20.85	59
GCF	21.36	125
GCF	21.86	122
GCF	22.36	215
GCF	22.86	212
GCF	23.37	243
GCF	23.87	246
GCF	24.37	493
GCF	24.87	546
GCF	25.38	967
GCF	25.88	984
GCF	26.38	983
GCF	26.88	1331
GCF	27.39	1404
GCF	27.89	2317
GCF	28.39	2371
GCF	28.89	3009
GCF	29.40	3211
GCF	29.90	4865
GCF	30.40	5156
GCF	30.90	7403
GCF	31.41	7608
GCF	31.91	8055
GCF	32.41	9837
GCF	32.91	10223
GCF	33.42	13089
GCF	33.92	13745
GCF	34.42	18227
GCF	34.92	19033
GCF	35.43	23264
GCF	35.93	24232
GCF	36.43	28667
GCF	36.93	29652
GCF	37.44	30780
GCF	37.94	36695
GCF	38.44	38072
GCF	38.94	44551
GCF	39.45	45626
GCF	39.95	51257
GCF	40.45	52204
GCF	40.95	58480
GCF	41.46	60213
GCF	41.96	61887
GCF	42.46	68563
GCF	42.96	71254
GCF	43.47	76137
GCF	43.97	78351
GCF	44.47	86251
GCF	44.97	88153
GCF	45.48	91586
GCF	45.98	94412
GCF	46.48	101926
GCF	46.98	104309
GCF	47.49	106325
GCF	47.99	112337
GCF	48.49	114271
GCF	48.99	125840
GCF	49.50	126563
GCF	50.00	133592
GCF	50.50	134042
GCF	51.01	134816
GCF	51.51	136291
GCF	52.01	137164
GCF	52.51	139660
GCF	53.02	141052
GCF	53.52	146543
GCF	54.02	147859
GCF	54.52	149100
GCF	55.03	148851
GCF	55.53	146576
GCF	56.03	150720
GCF	56.53	149464
GCF	57.04	149611
GCF	57.54	148402
GCF	58.04	149775
GCF	58.54	148257
GCF	59.05	143687
GCF	59.55	141676
GCF	60.05	143351
GCF	60.55	142937
GCF	61.06	137667
GCF	61.56	132667
GCF	62.06	128822
GCF	62.56	129919
GCF	63.07	128270
GCF	63.57	119087
GCF	64.07	114836
GCF	64.57	106882
GCF	65.08	97217
GCF	65.58	90083
GCF	66.08	88477
GCF	66.58	77929
GCF	67.09	73535
GCF	67.59	64255
GCF	68.09	58917
GCF	68.59	56355
GCF	69.10	50127
GCF	69.60	42434
GCF	70.10	36628
GCF	70.60	37934
GCF	71.11	32423
GCF	71.61	29526
GCF	72.11	21704
GCF	72.61	19286
GCF	73.12	16385
GCF	73.62	14282
GCF	74.12	12921
GCF	74.62	8506
GCF	75.13	7095
GCF	75.63	5461
GCF	76.13	4300
GCF	76.63	3608
GCF	77.14	3397
GCF	77.64	4866
GCF	78.14	4491
GCF	78.64	3683
GCF	79.15	3534
GCF	79.65	3399
GCF	80.15	1335
GCF	80.65	1247
GCF	81.16	884
GCF	81.66	810
GCF	82.16	659
GCF	82.66	618
GCF	83.17	434
GCF	83.67	375
GCF	84.17	340
GCF	84.67	190
GCF	85.18	128
GCF	85.68	62
GCF	86.18	61
GCF	86.93	56
GCF	87.69	10
GCF	88.19	9
GCF	88.69	11
GCF	89.45	17
GCF	90.20	19
GCF	91.21	4
GCF	92.21	1
# GC Content of last fragments. Use `grep ^GCL | cut -f 2-` to extract this part.
# ACGT content per cycle. Use `grep ^GCC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
GCC	1	47.56	0.00	0.00	52.44	0.00	0.00
GCC	2	0.00	47.56	52.44	0.00	0.00	0.00
GCC	3	0.00	52.44	47.56	0.00	0.00	0.00
GCC	4	52.44	0.00	0.00	47.56	0.00	0.00
GCC	5	0.00	47.56	52.44	0.00	0.00	0.00
GCC	6	20.62	29.53	29.24	20.61	0.00	0.00
GCC	7	24.98	25.05	25.42	24.54	0.00	0.00
GCC	8	22.71	27.49	27.54	22.25	0.00	0.00
GCC	9	23.07	27.42	26.79	22.71	0.00	0.00
GCC	10	26.01	23.82	23.89	26.29	0.00	0.00
GCC	11	22.65	27.25	27.45	22.65	0.00	0.00
GCC	12	22.64	27.30	27.39	22.67	0.00	0.00
GCC	13	25.27	24.67	24.87	25.20	0.00	0.00
GCC	14	21.95	27.61	27.81	22.63	0.00	0.00
GCC	15	23.18	26.74	26.69	23.39	0.00	0.00
GCC	16	24.36	25.43	25.46	24.75	0.00	0.00
GCC	17	22.24	27.57	27.94	22.26	0.00	0.00
GCC	18	23.21	26.78	26.62	23.38	0.00	0.00
GCC	19	23.97	26.07	25.84	24.13	0.00	0.00
GCC	20	22.50	27.19	27.15	23.16	0.00	0.00
GCC	21	23.74	26.40	26.18	23.68	0.00	0.00
GCC	22	24.41	25.52	25.48	24.60	0.00	0.00
GCC	23	22.52	27.50	27.53	22.45	0.00	0.00
GCC	24	23.43	26.46	26.60	23.51	0.00	0.00
GCC	25	25.13	24.83	24.95	25.10	0.00	0.00
GCC	26	23.00	26.66	26.98	23.35	0.00	0.00
GCC	27	23.06	26.64	26.95	23.36	0.00	0.00
GCC	28	24.24	25.74	25.64	24.37	0.00	0.00
GCC	29	23.38	26.73	26.49	23.40	0.00	0.00
GCC	30	23.25	26.67	26.71	23.37	0.00	0.00
GCC	31	24.10	25.88	25.68	24.34	0.00	0.00
GCC	32	22.56	27.19	27.14	23.11	0.00	0.00
GCC	33	23.36	26.65	26.66	23.33	0.00	0.00
GCC	34	24.44	25.59	25.59	24.38	0.00	0.00
GCC	35	23.11	26.71	26.71	23.47	0.00	0.00
GCC	36	23.42	26.59	26.43	23.56	0.00	0.00
GCC	37	24.01	26.00	25.77	24.22	0.00	0.00
GCC	38	22.68	27.43	27.08	22.81	0.00	0.00
GCC	39	22.44	27.41	27.20	22.95	0.00	0.00
GCC	40	23.63	26.19	26.10	24.08	0.00	0.00
GCC	41	22.78	27.24	27.28	22.70	0.00	0.00
GCC	42	23.34	26.98	26.49	23.19	0.00	0.00
GCC	43	24.52	25.44	25.41	24.62	0.00	0.00
GCC	44	23.16	26.83	26.89	23.12	0.00	0.00
GCC	45	23.80	26.34	26.06	23.80	0.00	0.00
GCC	46	24.20	25.74	25.76	24.30	0.00	0.00
GCC	47	23.40	26.59	26.50	23.50	0.00	0.00
GCC	48	23.73	26.30	26.16	23.81	0.00	0.00
GCC	49	24.37	25.80	25.33	24.50	0.00	0.00
GCC	50	23.49	26.71	26.33	23.47	0.00	0.00
GCC	51	23.76	26.26	26.33	23.65	0.00	0.00
GCC	52	24.34	25.84	25.52	24.30	0.00	0.00
GCC	53	23.81	26.24	25.97	23.98	0.00	0.00
GCC	54	23.94	26.30	26.00	23.76	0.00	0.00
