FFQ	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17630	16802	90684	0	0	0	0	0	0	0	2788	1477	26782	10133	29263	41938	64	32463	2565	50777	64091	46792	109780	152301	1922859	0
FFQ	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17788	18241	94638	0	0	0	0	0	0	0	2782	4632	23198	11518	27982	43746	283	31743	2630	50522	64525	46403	112247	155387	1910924	0
FFQ	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17222	17154	89541	0	0	0	0	0	0	0	3460	9224	18612	13299	26822	41660	674	30906	2438	48356	63592	46499	108354	153943	1927433	0
FFQ	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17080	17143	88122	0	0	0	0	0	0	0	3864	14115	12653	15893	24106	41014	952	30004	2545	48743	62829	46468	108551	152675	1932432	0
FFQ	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18287	16176	88051	0	0	0	0	0	0	0	4195	19117	6873	18537	21091	42026	1229	28564	2604	48125	64030	46598	106871	153817	1932998	0
FFQ	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18822	16153	88058	0	0	0	0	0	0	0	4483	23345	2712	20782	19139	42330	1590	28299	2515	48450	63535	46629	106333	152745	1933269	0
FFQ	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17570	16231	86251	0	0	0	0	0	0	0	4321	25200	782	20552	18508	41486	1777	27916	2478	47413	62448	45936	106011	152383	1941926	0
FFQ	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17015	16919	85603	0	0	0	0	0	0	0	4121	25703	254	20787	18063	40430	1813	27628	2446	46585	62179	46382	103631	151716	1947914	0
FFQ	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16993	16787	85191	0	0	0	0	0	0	0	4062	26065	143	21083	18455	39835	1895	27334	2521	47088	61630	46817	103794	150809	1948687	0
FFQ	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17065	16341	83744	0	0	0	0	0	0	0	4271	25820	100	20984	18426	39860	1965	27610	2518	46688	61752	47051	104084	150043	1950867	0
FFQ	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16925	16627	84937	0	0	0	0	0	0	0	4313	25834	119	20818	18280	40474	1915	27796	2388	46932	61994	47042	103715	151486	1947594	0
FFQ	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16780	15894	82004	0	0	0	0	0	0	0	4312	25762	144	21295	18236	39142	1957	27122	2587	46450	61343	47404	103876	149505	1955376	0
FFQ	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16650	16019	82484	0	0	0	0	0	0	0	4179	25679	150	20790	17853	39222	1889	27551	2586	46493	60791	47300	102266	149700	1957587	0
FFQ	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17272	16141	83018	0	0	0	0	0	0	0	4098	25303	160	20652	17708	39744	1894	27465	2804	47311	61393	47275	103784	150457	1952710	0
FFQ	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17760	16016	83799	0	0	0	0	0	0	0	4382	25465	183	21370	18378	38775	2026	26755	2547	46040	60610	47216	101469	150371	1956027	0
FFQ	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16033	15153	79760	0	0	0	0	0	0	0	4375	25301	172	21003	19414	39186	2652	26525	2455	45295	60241	46905	101715	148529	1964475	0
FFQ	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16401	15303	80588	0	0	0	0	0	0	0	4335	25010	171	20289	18015	38822	1988	26934	2395	45848	60021	46974	101930	149378	1964787	0
FFQ	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15730	15605	78488	0	0	0	0	0	0	0	4130	24847	217	19772	17482	36887	1779	26497	2304	45453	58794	46307	98941	149677	1976279	0
FFQ	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15193	15491	78231	0	0	0	0	0	0	0	3978	25128	181	19402	17169	37260	1854	26759	2379	43821	58997	46725	100156	148205	1978260	0
FFQ	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15770	14496	77205	0	0	0	0	0	0	0	4118	24486	216	19343	16766	36299	1737	26480	2441	44324	58582	46456	98665	147364	1984441	0
FFQ	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15563	15130	76264	0	0	0	0	0	0	0	4054	24264	220	19395	16871	36469	1812	26395	2365	44764	58176	46604	98461	145349	1987033	0
FFQ	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15478	15026	76279	0	0	0	0	0	0	0	4181	24147	240	19157	16605	36526	1782	26220	2358	44364	57969	46372	98027	145812	1988646	0
FFQ	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15753	15024	75405	0	0	0	0	0	0	0	4193	24066	272	19233	16224	35903	1689	26095	2607	44848	57623	46591	96928	144264	1992471	0
FFQ	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15797	14483	74652	0	0	0	0	0	0	0	4217	24104	296	19218	16026	35466	1745	25978	2652	44118	57745	46657	96929	144061	1995045	0
FFQ	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15238	14552	74501	0	0	0	0	0	0	0	4055	23824	291	19106	16493	35280	1779	26517	2528	43017	57325	47144	96693	143209	1997637	0
FFQ	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15208	15027	72051	0	0	0	0	0	0	0	4081	23549	292	19018	16073	34614	1662	25875	2434	43534	56976	46664	96320	143162	2002649	0
FFQ	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15026	14755	72106	0	0	0	0	0	0	0	4004	23648	284	18633	15993	34968	1653	25552	2340	43363	56567	46330	94848	142539	2006580	0
FFQ	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15187	14978	72177	0	0	0	0	0	0	0	4080	23264	326	18379	16002	34351	1687	25722	2345	42258	56825	46607	94562	141032	2009407	0
FFQ	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16189	14972	76072	0	0	0	0	0	0	0	4038	23286	371	18411	16162	34904	1733	25698	2403	42313	56596	46721	94463	141046	2003811	0
FFQ	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14639	14158	71220	0	0	0	0	0	0	0	4134	23297	331	18590	17465	35260	2413	25465	2214	41881	56363	45989	95371	141820	2008579	0
FFQ	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14815	14383	70514	0	0	0	0	0	0	0	4048	22809	351	18048	15683	33651	1763	25215	2287	41697	56003	45456	94715	138742	1986324	0
FFQ	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14821	13852	68157	0	0	0	0	0	0	0	4108	22035	395	17799	15017	33481	1545	24775	2347	41205	54598	44946	92200	138521	1959382	0
FFQ	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13812	13824	66900	0	0	0	0	0	0	0	3924	22032	369	17220	14652	32402	1519	24582	2321	40346	53781	44605	91085	134979	1937920	0
FFQ	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13601	13766	64728	0	0	0	0	0	0	0	3923	21422	399	16592	14310	31743	1512	24211	2339	38760	53602	43706	88835	131481	1890986	0
FFQ	45	0	0	0	0	0	0	0	0	0	0	0	0	0	23	13223	13269	63955	0	0	0	0	4	4	61	3615	20612	388	16393	13762	30766	1499	23497	2271	38642	51876	42855	86961	130425	1871750	0
FFQ	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13015	12876	62817	0	0	0	0	0	0	0	3687	20308	380	16015	13602	30628	1439	23208	2252	38202	51038	42800	85676	128290	1833198	0
FFQ	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13019	13104	61044	0	0	0	0	0	0	0	3612	19708	391	15736	13182	29907	1398	22528	2025	37099	50743	42085	84151	126093	1804687	0
FFQ	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12297	13027	61300	0	0	0	0	0	0	0	3485	19761	383	15457	13142	29847	1465	22787	2026	37182	50128	41833	84187	125696	1777560	0
FFQ	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12477	13584	60835	0	0	0	0	0	0	0	3533	19940	420	15308	13154	29274	1500	22088	2105	35871	49566	41081	82686	123600	1751174	0
FFQ	50	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12286	12837	57419	0	0	0	0	1	0	26	3433	19321	461	15290	13832	29235	1830	21767	2056	35113	48740	40741	80270	121569	1734402	0
FFQ	51	0	0	0	0	0	0	0	0	0	0	0	0	0	15	11970	12715	57029	0	0	0	0	4	1	54	3447	18756	477	14807	12771	28574	1471	21990	2015	34905	48719	40512	80841	120151	1712283	0
FFQ	52	0	0	0	0	0	0	0	0	0	0	0	0	0	64	11558	12844	55034	0	0	0	0	8	5	147	3303	18624	467	14182	12383	27537	1373	21489	2080	34240	47651	39769	79161	119185	1696982	0
FFQ	53	0	0	0	0	0	0	0	0	0	0	0	0	0	76	11256	13958	53563	0	0	0	0	17	12	209	3253	18326	690	14014	12058	27492	1407	21353	2063	33309	47228	39336	78713	116843	1675548	0
FFQ	54	0	0	0	0	0	0	0	0	0	0	0	0	0	189	11221	14460	51994	0	0	0	0	28	29	557	2909	17841	747	13801	11884	27145	1348	20784	1975	33423	46958	39528	77506	114866	1654476	0
FFQ	55	0	0	0	0	0	0	0	0	0	0	0	0	0	377	11042	15514	49829	0	0	0	0	63	51	871	2646	17479	834	13069	11706	26798	1292	20563	2049	32991	46236	38796	76982	113874	1626573	0
FFQ	56	0	0	0	0	0	0	0	0	0	0	0	0	0	307	11014	15512	49653	0	0	0	0	50	32	680	2732	17360	957	12966	11528	26337	1331	20337	1951	32608	45745	38774	75999	112357	1602852	0
FFQ	57	0	0	0	0	0	0	0	0	0	0	0	0	0	359	10636	15465	49479	0	0	0	0	52	43	667	2762	17483	860	13003	11255	26673	1308	20416	1962	32153	45933	38238	76186	111103	1573584	0
FFQ	58	0	0	0	0	0	0	0	0	0	0	0	0	0	519	10331	18418	46118	0	0	0	0	81	62	957	2498	17104	1355	12358	11352	26246	1316	20393	1832	31636	45595	38087	75325	109869	1550595	0
FFQ	59	0	0	0	0	0	0	0	0	0	0	0	0	0	614	10055	18260	44231	0	0	0	0	104	56	1221	2385	16754	1262	12142	11170	25643	1328	19807	1794	31163	44419	37524	73886	108080	1529903	0
FFQ	60	0	0	0	0	0	0	0	0	0	0	0	0	0	725	9911	19900	42377	0	0	0	0	135	71	1390	2172	16511	1509	11797	11131	25543	1350	19995	1927	30367	44966	37014	73120	107547	1508217	0
FFQ	61	0	0	0	0	0	0	0	0	0	0	0	0	0	833	9891	23362	37591	0	0	0	0	164	78	1568	2165	16380	1996	11060	10859	24980	1286	19606	1929	30680	44120	36936	72625	106312	1487159	0
FFQ	62	0	0	0	0	0	0	0	0	0	0	0	0	0	1006	9338	25303	34236	0	0	0	0	173	106	1770	1991	15901	2438	10243	10847	24555	1266	19210	1908	30032	42569	36450	71287	104272	1470035	0
FFQ	63	0	0	0	0	0	0	0	0	0	0	0	0	0	1089	9738	26873	32543	0	0	0	0	157	103	1743	2105	15306	2546	10412	10378	24728	1245	19302	1936	30105	43146	36414	70741	102222	1441763	0
FFQ	64	0	0	0	0	0	0	0	0	0	0	0	0	0	1041	9757	27036	32007	0	0	0	0	159	89	1648	2363	15509	2488	10432	10424	24729	1282	19379	1992	30251	43368	36750	70758	103442	1413692	0
FFQ	65	0	0	0	0	0	0	0	0	0	0	0	0	0	1182	9379	29605	28405	0	0	0	0	176	116	1987	2170	15344	2817	9600	10315	24182	1209	18957	1909	29446	42821	36456	69996	101995	1393536	0
FFQ	66	0	0	0	0	0	0	0	0	0	0	0	0	0	1440	9089	30575	26713	0	0	0	0	221	113	2213	1937	14960	3033	8973	9956	23923	1238	18852	1968	29248	42220	35753	69308	99703	1375025	0
FFQ	67	0	0	0	0	0	0	0	0	0	0	0	0	0	1511	8768	33396	23537	0	0	0	0	219	116	2205	2194	14629	3420	8791	10041	23367	1226	18565	1867	28963	42032	35664	68065	98683	1356606	0
FFQ	68	0	0	0	0	0	0	0	0	0	0	0	0	0	1837	8625	36941	18792	0	0	0	0	295	128	2720	1842	14362	4022	7862	9899	23069	1185	18168	1921	28258	41852	35242	67452	97504	1337843	0
FFQ	69	0	0	0	0	0	0	0	0	0	0	0	0	0	1969	8361	35837	18207	0	0	0	0	311	147	2799	1789	13963	3861	7821	9620	22707	1244	18339	1906	27864	41088	34938	66373	95649	1321965	0
FFQ	70	0	0	0	0	0	0	0	0	0	0	0	0	0	2386	7922	38058	16525	0	0	0	0	356	145	3084	1684	13861	4088	7616	9632	22492	1237	18406	1930	27820	41135	35104	66414	93941	1298747	0
FFQ	71	0	0	0	0	0	0	0	0	0	0	0	0	0	2145	7667	40013	12936	0	0	0	0	385	147	3231	1704	13530	4404	6871	9379	21755	1226	17681	1983	27195	39830	34602	64245	92676	1284737	0
FFQ	72	0	0	0	0	0	0	0	0	0	0	0	0	0	2506	7504	40612	12301	0	0	0	0	440	128	3424	1501	12895	4299	6985	9491	21468	1105	17558	1846	26933	39935	34294	63415	90086	1265965	0
FFQ	73	0	0	0	0	0	0	0	0	0	0	0	0	0	2673	7273	41098	10926	0	0	0	0	471	169	3807	1341	12546	4583	6617	9367	21305	1162	17393	1842	26506	39557	34291	63633	89597	1235598	0
FFQ	74	0	0	0	0	0	0	0	0	0	0	0	0	0	2823	9047	46622	12649	0	0	0	0	532	119	3891	1786	12971	4852	7025	9770	21680	1270	17364	1801	25900	39151	33474	62334	88603	1202852	0
FFQ	75	0	0	0	0	0	0	0	0	0	0	0	0	0	3229	7355	44802	6621	0	0	0	0	543	188	4641	1777	13067	6272	6356	11805	22604	2005	17141	1925	25959	39495	33623	62295	88142	1183822	0
FFQ	76	0	0	0	0	0	0	0	0	0	0	0	0	0	3735	6949	44424	5639	0	0	0	0	661	174	4984	1340	12214	5741	6111	10070	20808	1367	17274	1940	25379	39594	33691	62470	87287	1170330	0
FFQ	77	0	0	0	0	0	0	0	0	0	0	0	0	0	3776	6514	44573	4499	0	0	0	0	701	147	5015	1124	11573	5461	5734	9607	19508	1102	17132	1880	25586	39541	33866	60584	87003	1154499	0
FFQ	78	0	0	0	0	0	0	0	0	0	0	0	0	0	3838	6008	45470	2998	0	0	0	0	761	137	5025	1142	11352	5550	5281	9162	19541	1022	17092	1879	25112	38754	33435	59720	84766	1139026	0
FFQ	79	0	0	0	0	0	0	0	0	0	0	0	0	0	4049	6063	45560	2493	0	0	0	0	775	152	5254	1127	10741	5510	5434	9019	18711	996	17038	1962	25012	38613	33260	58726	82598	1118875	0
FFQ	80	0	0	0	0	0	0	0	0	0	0	0	0	0	4606	6716	49323	2587	0	0	0	0	845	131	5675	1213	10715	5888	5356	9241	18427	1037	17365	1933	24529	39233	33464	58443	81812	1112981	0
FFQ	81	0	0	0	0	0	0	0	0	0	0	0	0	0	4291	5871	46960	1128	0	0	0	0	856	151	6147	1394	10384	6607	5669	11088	18615	1486	17027	1823	24232	39811	33861	59128	82556	1111677	0
FFQ	82	0	0	0	0	0	0	0	0	0	0	0	0	0	4486	5586	48112	99	0	0	0	0	902	87	6383	1432	10261	6783	4952	10505	18595	1246	17639	1981	24904	39569	33920	60063	82119	1110109	0
FFQ	83	0	0	0	0	0	0	0	0	0	0	0	0	0	4470	5476	46845	104	0	0	0	0	994	114	6441	1277	9888	6670	4883	9757	18043	1093	17417	1858	24406	39913	33753	58297	83068	1113819	0
FFQ	84	0	0	0	0	0	0	0	0	0	0	0	0	0	4613	5234	46947	97	0	0	0	0	976	98	6575	1264	9458	6295	4786	9430	17768	1032	17705	2009	24436	39847	34588	59089	81350	1113649	0
FFQ	85	0	0	0	0	0	0	0	0	0	0	0	0	0	4911	5149	46553	73	0	0	0	0	1119	70	6984	1234	8753	6503	5371	9128	17717	979	17786	1871	25240	40759	35033	59009	81447	1110097	0
FFQ	86	0	0	0	0	0	0	0	0	0	0	0	0	0	4953	5253	45465	0	0	0	0	0	1090	84	7313	1380	8326	6158	5435	9004	17178	888	18035	1779	25104	40040	35221	58816	81233	1111466	0
FFQ	87	0	0	0	0	0	0	0	0	0	0	0	0	0	5363	5855	44884	55	0	0	0	0	1149	62	7666	1339	7934	6074	5954	8892	17359	899	17975	1699	26718	40756	36486	58342	80662	1106265	0
FFQ	88	0	0	0	0	0	0	0	0	0	0	0	0	0	5775	5632	44165	0	0	0	0	0	1207	76	8121	1457	7714	5998	6525	8887	17177	741	18193	1845	26576	40941	36678	58251	80742	1103556	0
FFQ	89	0	0	0	0	0	0	0	0	0	0	0	0	0	4735	4848	41691	0	0	0	0	0	1295	51	8442	1611	7351	5741	6374	8782	16968	737	18099	2185	25743	41747	37866	57001	79230	1106244	0
FFQ	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41294	0	0	0	0	0	1236	20	8207	1501	6894	5554	6466	8445	16423	725	18288	2189	26210	41032	37600	56953	78268	1107746	0
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
# GC Content of first fragments. Use `grep ^GCF | cut -f 2-` to extract this part.
GCF	4.02	0
GCF	8.29	3
GCF	9.05	5
GCF	9.80	2
GCF	10.30	1
GCF	10.80	0
GCF	11.56	1
GCF	13.07	0
GCF	14.82	5
GCF	16.33	6
GCF	17.34	7
GCF	18.09	16
GCF	18.84	33
GCF	19.35	34
GCF	20.10	64
GCF	20.85	67
GCF	21.36	135
GCF	21.86	136
GCF	22.36	175
GCF	22.86	189
GCF	23.37	340
GCF	23.87	344
GCF	24.37	491
GCF	24.87	519
GCF	25.38	1003
GCF	25.88	1018
GCF	26.38	1030
GCF	26.88	1516
GCF	27.39	1618
GCF	27.89	2311
GCF	28.39	2401
GCF	28.89	3338
GCF	29.40	3450
GCF	29.90	5313
GCF	30.40	5613
GCF	30.90	7492
GCF	31.41	7689
GCF	31.91	8139
GCF	32.41	10022
GCF	32.91	10436
GCF	33.42	13885
GCF	33.92	14475
GCF	34.42	18801
GCF	34.92	19469
GCF	35.43	23312
GCF	35.93	24293
GCF	36.43	28930
GCF	36.93	29922
GCF	37.44	30914
GCF	37.94	37375
GCF	38.44	39020
GCF	38.94	45687
GCF	39.45	46951
GCF	39.95	52630
GCF	40.45	54596
GCF	40.95	60206
GCF	41.46	61844
GCF	41.96	62848
GCF	42.46	69640
GCF	42.96	72207
GCF	43.47	78094
GCF	43.97	80275
GCF	44.47	86803
GCF	44.97	89003
GCF	45.48	93515
GCF	45.98	95875
GCF	46.48	102385
GCF	46.98	105234
GCF	47.49	108467
GCF	47.99	116001
GCF	48.49	117364
GCF	48.99	128187
GCF	49.50	128769
GCF	50.00	133045
GCF	50.50	133942
GCF	51.01	136370
GCF	51.51	139082
GCF	52.01	139867
GCF	52.51	142679
GCF	53.02	143170
GCF	53.52	149676
GCF	54.02	150668
GCF	54.52	150840
GCF	55.03	150667
GCF	55.53	148652
GCF	56.03	153013
GCF	56.53	152543
GCF	57.04	151192
GCF	57.54	149420
GCF	58.04	151104
GCF	58.54	149309
GCF	59.05	144805
GCF	59.55	143017
GCF	60.05	138777
GCF	60.55	139397
GCF	61.06	135431
GCF	61.56	134539
GCF	62.06	131467
GCF	62.56	131484
GCF	63.07	129118
GCF	63.57	119189
GCF	64.07	115384
GCF	64.57	105857
GCF	65.08	97787
GCF	65.58	91524
GCF	66.08	89742
GCF	66.58	79542
GCF	67.09	74102
GCF	67.59	64460
GCF	68.09	58122
GCF	68.59	56017
GCF	69.10	48480
GCF	69.60	41937
GCF	70.10	36569
GCF	70.60	35356
GCF	71.11	29674
GCF	71.61	27148
GCF	72.11	22569
GCF	72.61	20280
GCF	73.12	16850
GCF	73.62	14697
GCF	74.12	12235
GCF	74.62	7559
GCF	75.13	6642
GCF	75.63	5070
GCF	76.13	4284
GCF	76.63	3624
GCF	77.14	3463
GCF	77.64	4234
GCF	78.14	3643
GCF	78.64	3280
GCF	79.15	3125
GCF	79.65	3049
GCF	80.15	1174
GCF	80.65	1125
GCF	81.16	835
GCF	81.66	813
GCF	82.16	700
GCF	82.66	680
GCF	83.17	474
GCF	83.67	412
GCF	84.17	360
GCF	84.67	194
GCF	85.18	121
GCF	85.68	55
GCF	86.18	66
GCF	86.68	60
GCF	87.19	63
GCF	87.69	21
GCF	88.19	19
GCF	88.69	30
GCF	89.20	31
GCF	89.95	30
GCF	90.95	1
GCF	91.71	2
GCF	92.71	1
# GC Content of last fragments. Use `grep ^GCL | cut -f 2-` to extract this part.
# ACGT content per cycle. Use `grep ^GCC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
GCC	1	47.58	0.00	0.00	52.42	0.00	0.00
GCC	2	0.00	47.58	52.42	0.00	0.00	0.00
GCC	3	0.00	52.42	47.58	0.00	0.00	0.00
GCC	4	52.42	0.00	0.00	47.58	0.00	0.00
GCC	5	0.00	47.58	52.42	0.00	0.00	0.00
GCC	6	20.72	29.19	29.27	20.82	0.00	0.00
GCC	7	24.99	25.07	25.30	24.64	0.00	0.00
GCC	8	23.08	27.15	26.92	22.84	0.00	0.00
GCC	9	23.18	27.21	26.65	22.96	0.00	0.00
GCC	10	26.11	23.76	23.73	26.40	0.00	0.00
GCC	11	22.88	27.10	27.14	22.88	0.00	0.00
GCC	12	22.75	27.34	27.12	22.80	0.00	0.00
GCC	13	25.19	24.55	24.77	25.49	0.00	0.00
GCC	14	22.11	27.36	27.76	22.77	0.00	0.00
GCC	15	23.14	26.69	26.81	23.36	0.00	0.00
GCC	16	24.48	25.44	25.44	24.64	0.00	0.00
GCC	17	22.32	27.59	27.79	22.30	0.00	0.00
GCC	18	23.25	26.68	26.54	23.53	0.00	0.00
GCC	19	23.94	26.05	25.85	24.17	0.00	0.00
GCC	20	22.68	27.08	27.01	23.23	0.00	0.00
GCC	21	23.82	26.36	26.20	23.63	0.00	0.00
GCC	22	24.42	25.57	25.43	24.58	0.00	0.00
GCC	23	22.61	27.34	27.49	22.55	0.00	0.00
GCC	24	23.47	26.28	26.59	23.66	0.00	0.00
GCC	25	25.00	24.87	25.07	25.06	0.00	0.00
GCC	26	23.16	26.58	26.83	23.43	0.00	0.00
GCC	27	23.07	26.73	26.91	23.29	0.00	0.00
GCC	28	24.27	25.68	25.78	24.27	0.00	0.00
GCC	29	23.40	26.60	26.54	23.46	0.00	0.00
GCC	30	23.26	26.75	26.56	23.43	0.00	0.00
GCC	31	24.19	25.79	25.60	24.42	0.00	0.00
GCC	32	22.57	27.16	27.13	23.14	0.00	0.00
GCC	33	23.53	26.60	26.59	23.28	0.00	0.00
GCC	34	24.42	25.56	25.59	24.43	0.00	0.00
GCC	35	23.22	26.64	26.76	23.39	0.00	0.00
GCC	36	23.27	26.57	26.54	23.61	0.00	0.00
GCC	37	24.05	25.86	25.76	24.34	0.00	0.00
GCC	38	22.76	27.36	27.11	22.77	0.00	0.00
GCC	39	22.56	27.42	27.22	22.80	0.00	0.00
GCC	40	23.77	26.09	26.02	24.13	0.00	0.00
GCC	41	22.78	27.19	27.24	22.79	0.00	0.00
GCC	42	23.35	26.98	26.42	23.25	0.00	0.00
GCC	43	24.60	25.46	25.25	24.69	0.00	0.00
GCC	44	23.19	26.89	26.75	23.17	0.00	0.00
GCC	45	23.84	26.17	26.11	23.89	0.00	0.00
GCC	46	24.30	25.76	25.77	24.17	0.00	0.00
GCC	47	23.48	26.51	26.49	23.52	0.00	0.00
GCC	48	23.78	26.30	26.11	23.81	0.00	0.00
GCC	49	24.34	25.84	25.32	24.49	0.00	0.00
GCC	50	23.60	26.53	26.38	23.49	0.00	0.00
GCC	51	23.81	26.35	26.32	23.53	0.00	0.00
GCC	52	24.42	25.78	25.51	24.29	0.00	0.00
GCC	53	23.85	26.18	26.05	23.92	0.00	0.00
