FFQ	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9342	9315	46156	0	0	0	0	0	0	0	2389	14666	133	11957	11202	22148	1487	15052	1325	25741	33500	25742	55545	82485	1098433	0
FFQ	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9022	8927	46261	0	0	0	0	0	0	0	2345	14652	133	11353	10144	21419	1163	15229	1271	24899	33497	26243	57152	82085	1100823	0
FFQ	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8887	8551	44898	0	0	0	0	0	0	0	2352	14140	134	11413	9976	20824	1040	14790	1361	24828	33065	26019	55430	82493	1106417	0
FFQ	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9195	8703	44440	0	0	0	0	0	0	0	2363	14098	112	11231	9611	20543	1006	15065	1355	24858	32923	26223	55133	80939	1108820	0
FFQ	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8988	8878	44856	0	0	0	0	0	0	0	2345	14119	133	11055	9597	20863	1060	14891	1352	24712	32910	25944	54798	80254	1109863	0
FFQ	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9219	8935	44320	0	0	0	0	0	0	0	2464	14028	127	11150	9482	20716	993	14779	1414	24991	32582	26465	54254	80160	1110539	0
FFQ	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9279	8340	43332	0	0	0	0	0	0	0	2436	14015	142	11104	9444	20303	1012	14597	1467	24808	32395	25944	53805	79724	1114471	0
FFQ	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8696	8524	43999	0	0	0	0	0	0	0	2330	14082	160	10982	9609	19886	948	14671	1387	23816	32364	25966	53717	79415	1116066	0
FFQ	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8890	8780	42910	0	0	0	0	0	0	0	2335	13940	152	10636	9604	19792	980	14723	1365	24021	31800	26036	53174	78647	1118833	0
FFQ	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8863	8406	42050	0	0	0	0	0	0	0	2323	13779	181	10701	9083	19776	946	14457	1338	24363	32038	25869	53145	79560	1119740	0
FFQ	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8626	8545	41387	0	0	0	0	0	0	0	2437	13670	199	10529	9282	19409	1038	14482	1366	23734	31953	26056	52721	78787	1122397	0
FFQ	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8718	8306	42300	0	0	0	0	0	0	0	2312	13588	176	10305	8983	19643	989	14485	1311	23409	31683	25912	52237	78213	1124048	0
FFQ	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8188	8292	41688	0	0	0	0	0	0	0	2367	13566	206	10156	9106	19418	1015	14105	1316	23287	31222	25484	52539	77925	1126738	0
FFQ	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8737	8504	41736	0	0	0	0	0	0	0	2333	13131	167	10344	8810	18920	910	14254	1255	22775	30891	25350	51681	75523	1111131	0
FFQ	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8369	7926	39515	0	0	0	0	0	0	0	2370	12666	201	10291	8980	19124	1107	13645	1279	22704	30212	24880	50175	75136	1095418	0
FFQ	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7998	7819	39221	0	0	0	0	0	0	0	2167	12653	223	9671	8792	18378	882	13794	1285	22312	29971	24707	50474	74082	1080200	0
FFQ	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8016	7761	37982	0	0	0	0	0	0	0	2265	12357	231	9534	8164	17834	919	13228	1240	21447	29610	23986	48398	73249	1053766	0
FFQ	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7694	7476	37013	0	0	0	0	0	0	0	2119	12099	220	9370	8017	17101	897	13052	1137	21169	28542	23662	48146	71446	1043065	0
FFQ	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7357	7184	35984	0	0	0	0	0	0	0	2062	11569	162	9103	7787	17150	800	12969	1129	20654	28101	23188	46611	69375	1021296	0
FFQ	47	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7164	7209	35258	0	0	0	0	3	0	28	1933	11253	185	8695	7471	16567	797	12482	1091	20002	27763	22757	45798	68431	1005545	0
FFQ	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6823	7085	34732	0	0	0	0	0	0	0	1944	11280	202	8604	7384	16419	817	12594	1107	19868	27495	22454	45356	67646	990467	0
FFQ	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6792	7051	33684	0	0	0	0	0	0	0	1983	10923	221	8221	7331	15760	778	12198	1091	19160	26631	22008	44301	66544	977103	0
FFQ	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6935	6868	33647	0	0	0	0	0	0	0	1859	10806	228	8424	7100	15630	793	12272	1104	19162	26947	22030	44370	65733	961596	0
FFQ	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7041	7306	34079	0	0	0	0	0	0	0	1975	10735	245	8410	7200	15833	797	11985	1103	19074	26441	21634	43740	64863	946554	0
FFQ	52	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6571	7019	31887	0	0	0	0	0	0	18	1905	10596	265	8295	7520	15667	1014	11922	1106	18422	25666	21620	42911	63647	937324	0
FFQ	53	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6256	6775	31704	0	0	0	0	3	1	36	1811	10514	254	7852	6893	15323	771	11615	1056	17675	26149	21265	42900	62944	924855	0
FFQ	54	0	0	0	0	0	0	0	0	0	0	0	0	0	32	6074	6928	30994	0	0	0	0	2	1	82	1791	10250	243	7829	6703	14936	704	11305	1039	18086	25287	21034	41809	61992	912827	0
FFQ	55	0	0	0	0	0	0	0	0	0	0	0	0	0	35	6071	7516	29152	0	0	0	0	8	11	106	1814	9920	407	7642	6619	14654	722	11072	1050	17695	24823	20593	40999	60740	897460	0
FFQ	56	0	0	0	0	0	0	0	0	0	0	0	0	0	111	6042	7596	28424	0	0	0	0	16	15	237	1543	9677	430	7218	6336	14208	710	10920	961	17278	24576	20262	40449	60535	884391	0
FFQ	57	0	0	0	0	0	0	0	0	0	0	0	0	0	207	5663	8033	27714	0	0	0	0	37	28	423	1354	9512	486	7008	6266	14030	683	11184	1010	17037	24016	20097	40327	58730	869281	0
FFQ	58	0	0	0	0	0	0	0	0	0	0	0	0	0	159	5739	8471	27244	0	0	0	0	25	21	373	1442	9661	502	7118	6186	14167	671	10912	970	16833	24356	19960	39898	58328	853820	0
FFQ	59	0	0	0	0	0	0	0	0	0	0	0	0	0	163	5559	8073	27064	0	0	0	0	31	28	344	1462	9550	420	6885	6162	13983	662	10642	1005	16615	24108	19922	39317	57972	838281	0
FFQ	60	0	0	0	0	0	0	0	0	0	0	0	0	0	251	5678	9684	25270	0	0	0	0	34	30	550	1331	9210	728	6641	6153	13925	680	10642	960	16404	23854	19702	38853	57269	825912	0
FFQ	61	0	0	0	0	0	0	0	0	0	0	0	0	0	334	5453	9841	24133	0	0	0	0	62	30	652	1272	9189	657	6494	5858	13205	700	10574	1003	16138	23475	19484	38348	56410	815084	0
FFQ	62	0	0	0	0	0	0	0	0	0	0	0	0	0	400	5279	10801	23089	0	0	0	0	65	38	730	1180	8935	810	6290	5958	13304	678	10406	992	15997	22615	19318	37867	55873	802079	0
FFQ	63	0	0	0	0	0	0	0	0	0	0	0	0	0	439	5455	12213	20746	0	0	0	0	67	60	883	1162	8884	1110	5852	5950	13079	668	10288	984	15860	22748	19243	37617	54729	787203	0
FFQ	64	0	0	0	0	0	0	0	0	0	0	0	0	0	572	5155	13428	18972	0	0	0	0	76	52	999	1042	8596	1337	5431	5838	12740	632	10240	995	15634	22279	18729	36307	54015	777552	0
FFQ	65	0	0	0	0	0	0	0	0	0	0	0	0	0	544	5092	14056	17909	0	0	0	0	80	48	944	1140	8488	1441	5343	5662	12852	670	9988	947	15189	22264	18451	36204	53191	764246	0
FFQ	66	0	0	0	0	0	0	0	0	0	0	0	0	0	511	5331	14233	18023	0	0	0	0	82	55	862	1210	8265	1320	5389	5665	13060	681	9990	979	15528	22328	18585	36547	52942	747764	0
FFQ	67	0	0	0	0	0	0	0	0	0	0	0	0	0	663	5101	15547	16133	0	0	0	0	90	52	1003	1166	8271	1480	5021	5509	12552	631	9898	930	15432	22078	18667	35746	52116	737742	0
FFQ	68	0	0	0	0	0	0	0	0	0	0	0	0	0	750	4825	15739	15129	0	0	0	0	118	50	1069	1073	8003	1622	4778	5539	12029	678	9644	934	14778	21869	18342	35264	51323	728167	0
FFQ	69	0	0	0	0	0	0	0	0	0	0	0	0	0	729	4799	17219	13282	0	0	0	0	121	57	1196	1153	7935	1853	4598	5382	12238	640	9778	968	14573	21548	18174	34694	50682	717079	0
FFQ	70	0	0	0	0	0	0	0	0	0	0	0	0	0	921	4496	19216	10862	0	0	0	0	172	68	1375	996	7721	2132	4136	5407	11581	626	9652	967	14524	21304	18168	34500	50049	705862	0
FFQ	71	0	0	0	0	0	0	0	0	0	0	0	0	0	942	4385	19352	10369	0	0	0	0	179	45	1463	931	7574	2017	4004	5123	11721	637	9259	911	14200	21085	17887	33892	48792	695507	0
FFQ	72	0	0	0	0	0	0	0	0	0	0	0	0	0	1140	4266	20046	9444	0	0	0	0	202	55	1585	809	7330	2231	4025	5177	11627	615	9633	910	14138	20983	17873	33624	48149	682707	0
FFQ	73	0	0	0	0	0	0	0	0	0	0	0	0	0	1131	4099	21051	7375	0	0	0	0	194	73	1608	896	7220	2369	3605	5170	11096	635	9084	916	13587	20754	17531	32908	47350	669013	0
FFQ	74	0	0	0	0	0	0	0	0	0	0	0	0	0	1113	3945	20956	7068	0	0	0	0	243	82	1735	740	6909	2247	3505	5053	10943	614	9094	912	13455	20364	17179	32317	46278	656548	0
FFQ	75	0	0	0	0	0	0	0	0	0	0	0	0	0	1417	3844	21401	6192	0	0	0	0	251	89	1951	716	6553	2297	3425	4831	10867	604	9062	917	13628	20047	17425	32186	45740	644207	0
FFQ	76	0	0	0	0	0	0	0	0	0	0	0	0	0	1518	4841	23787	7418	0	0	0	0	283	80	1981	927	6735	2636	3751	5258	10772	660	8872	944	13302	20146	17091	31533	44823	628275	0
FFQ	77	0	0	0	0	0	0	0	0	0	0	0	0	0	1644	3777	23216	3920	0	0	0	0	308	78	2301	936	7141	3204	3179	6357	11473	1087	8690	914	12811	20115	16946	31405	44666	617856	0
FFQ	78	0	0	0	0	0	0	0	0	0	0	0	0	0	1778	3468	23451	3300	0	0	0	0	370	89	2421	677	6696	2889	2881	5199	10674	688	8671	966	12858	20039	16876	32152	44536	608348	0
FFQ	79	0	0	0	0	0	0	0	0	0	0	0	0	0	1872	3432	23059	2707	0	0	0	0	353	73	2545	620	6342	2822	2826	4937	9816	586	8749	936	12894	20067	16932	30947	44309	597829	0
FFQ	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1922	3348	24469	1827	0	0	0	0	366	75	2583	600	6024	2983	2707	4855	9888	550	8851	919	12706	20220	16954	30663	43126	598772	0
FFQ	81	0	0	0	0	0	0	0	0	0	0	0	0	0	1984	3281	24446	1582	0	0	0	0	390	71	2665	609	6060	3027	2687	4800	9784	548	8849	893	12425	20106	17015	30564	43375	598847	0
FFQ	82	0	0	0	0	0	0	0	0	0	0	0	0	0	2208	3370	26441	1426	0	0	0	0	399	75	2796	605	6022	3033	2590	4953	9767	515	8959	960	12747	19980	17100	30862	42720	595880	0
FFQ	83	0	0	0	0	0	0	0	0	0	0	0	0	0	2124	3119	25052	792	0	0	0	0	462	84	2961	661	5831	3598	2787	5880	9711	757	8773	881	12446	20074	17162	30787	42670	596155	0
FFQ	84	0	0	0	0	0	0	0	0	0	0	0	0	0	2107	2901	26003	64	0	0	0	0	477	53	3034	725	5660	3496	2357	5444	9367	673	8970	888	12564	20342	17445	30842	42994	595647	0
FFQ	85	0	0	0	0	0	0	0	0	0	0	0	0	0	2203	2835	25052	66	0	0	0	0	517	47	3188	676	5397	3458	2373	5215	9405	582	9293	879	12672	20258	17211	30863	42811	596303	0
FFQ	86	0	0	0	0	0	0	0	0	0	0	0	0	0	2312	3137	24668	65	0	0	0	0	563	43	3342	621	5102	3362	2659	4989	9116	528	9093	880	12938	20475	17884	30574	42739	595416	0
FFQ	87	0	0	0	0	0	0	0	0	0	0	0	0	0	2595	3401	24490	51	0	0	0	0	572	35	3585	739	4954	3140	3046	4927	9292	499	8976	869	13879	20561	17903	30492	42653	592995	0
FFQ	88	0	0	0	0	0	0	0	0	0	0	0	0	0	2756	3392	23530	0	0	0	0	0	562	32	3700	743	4689	3114	3068	4697	9279	477	9057	839	13915	20536	18087	29892	42703	593588	0
FFQ	89	0	0	0	0	0	0	0	0	0	0	0	0	0	2313	3092	23119	34	0	0	0	0	653	34	3909	800	4498	3092	3118	4682	9376	484	9159	1113	13856	20960	19013	29724	41892	591967	0
FFQ	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23173	0	0	0	0	0	593	32	3938	800	4386	3144	3257	4607	9048	436	9473	1037	14133	20996	19005	29857	41202	591408	0
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
# GC Content of first fragments. Use `grep ^GCF | cut -f 2-` to extract this part.
GCF	5.03	0
GCF	10.80	1
GCF	12.31	0
GCF	13.57	1
GCF	14.82	2
GCF	15.83	4
GCF	16.83	5
GCF	17.84	6
GCF	18.34	8
GCF	18.84	14
GCF	19.35	15
GCF	20.10	27
GCF	20.85	35
GCF	21.36	77
GCF	21.86	76
GCF	22.36	110
GCF	22.86	118
GCF	23.37	167
GCF	23.87	175
GCF	24.37	304
GCF	24.87	329
GCF	25.38	560
GCF	25.88	583
GCF	26.38	582
GCF	26.88	837
GCF	27.39	903
GCF	27.89	1481
GCF	28.39	1519
GCF	28.89	1873
GCF	29.40	1979
GCF	29.90	2894
GCF	30.40	3109
GCF	30.90	4410
GCF	31.41	4539
GCF	31.91	4807
GCF	32.41	5919
GCF	32.91	6210
GCF	33.42	8158
GCF	33.92	8425
GCF	34.42	10838
GCF	34.92	11304
GCF	35.43	13545
GCF	35.93	14258
GCF	36.43	16771
GCF	36.93	17359
GCF	37.44	17922
GCF	37.94	21765
GCF	38.44	22576
GCF	38.94	26342
GCF	39.45	26757
GCF	39.95	29874
GCF	40.45	30863
GCF	40.95	33935
GCF	41.46	35163
GCF	41.96	36333
GCF	42.46	40486
GCF	42.96	41883
GCF	43.47	45166
GCF	43.97	46525
GCF	44.47	49810
GCF	44.97	50919
GCF	45.48	53282
GCF	45.98	54586
GCF	46.48	58709
GCF	46.98	60211
GCF	47.49	62254
GCF	47.99	65430
GCF	48.49	66677
GCF	48.99	72904
GCF	49.50	73664
GCF	50.00	76399
GCF	50.50	76621
GCF	51.01	76630
GCF	51.51	77731
GCF	52.01	78529
GCF	52.51	80028
GCF	53.02	80658
GCF	53.52	84115
GCF	54.02	85136
GCF	54.52	85665
GCF	55.03	86019
GCF	55.53	84806
GCF	56.03	86649
GCF	56.53	85447
GCF	57.04	85134
GCF	57.54	84130
GCF	58.04	84746
GCF	58.54	84407
GCF	59.05	82275
GCF	59.55	81677
GCF	60.05	81024
GCF	60.55	80118
GCF	61.06	76592
GCF	61.56	74933
GCF	62.06	72524
GCF	62.56	72876
GCF	63.07	71358
GCF	63.57	66129
GCF	64.07	64051
GCF	64.57	60031
GCF	65.08	55135
GCF	65.58	50548
GCF	66.08	49395
GCF	66.58	44278
GCF	67.09	41857
GCF	67.59	36844
GCF	68.09	33824
GCF	68.59	32706
GCF	69.10	28932
GCF	69.60	25250
GCF	70.10	21409
GCF	70.60	21481
GCF	71.11	17977
GCF	71.61	16127
GCF	72.11	12294
GCF	72.61	11089
GCF	73.12	9380
GCF	73.62	8178
GCF	74.12	7533
GCF	74.62	4944
GCF	75.13	4296
GCF	75.63	3358
GCF	76.13	2567
GCF	76.63	2225
GCF	77.14	2076
GCF	77.64	2153
GCF	78.14	1848
GCF	78.64	1760
GCF	79.15	1703
GCF	79.65	1661
GCF	80.15	658
GCF	80.65	608
GCF	81.16	488
GCF	81.66	502
GCF	82.16	475
GCF	82.66	462
GCF	83.17	263
GCF	83.67	228
GCF	84.17	208
GCF	84.67	130
GCF	85.18	94
GCF	85.68	41
GCF	86.18	43
GCF	86.68	41
GCF	87.19	39
GCF	87.69	4
GCF	88.19	3
GCF	88.69	9
GCF	89.20	19
GCF	89.95	18
GCF	90.70	2
GCF	91.71	1
# GC Content of last fragments. Use `grep ^GCL | cut -f 2-` to extract this part.
# ACGT content per cycle. Use `grep ^GCC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
GCC	1	47.34	0.00	0.00	52.66	0.00	0.00
GCC	2	0.00	47.34	52.66	0.00	0.00	0.00
GCC	3	0.00	52.66	47.34	0.00	0.00	0.00
GCC	4	52.66	0.00	0.00	47.34	0.00	0.00
GCC	5	0.00	47.34	52.66	0.00	0.00	0.00
GCC	6	20.79	29.24	29.14	20.83	0.00	0.00
GCC	7	25.17	24.86	25.27	24.70	0.00	0.00
GCC	8	22.47	27.78	27.58	22.17	0.00	0.00
GCC	9	23.22	27.30	26.58	22.90	0.00	0.00
GCC	10	25.95	23.92	23.88	26.25	0.00	0.00
GCC	11	22.72	27.08	27.47	22.73	0.00	0.00
GCC	12	22.79	27.23	27.14	22.84	0.00	0.00
GCC	13	25.09	24.73	24.92	25.26	0.00	0.00
GCC	14	22.16	27.32	27.73	22.79	0.00	0.00
GCC	15	23.20	26.64	26.74	23.42	0.00	0.00
GCC	16	24.38	25.47	25.42	24.73	0.00	0.00
GCC	17	22.27	27.46	27.85	22.42	0.00	0.00
GCC	18	23.24	26.66	26.59	23.52	0.00	0.00
GCC	19	23.95	25.94	25.90	24.22	0.00	0.00
GCC	20	22.59	27.11	26.97	23.33	0.00	0.00
GCC	21	23.86	26.24	26.07	23.82	0.00	0.00
GCC	22	24.44	25.50	25.38	24.68	0.00	0.00
GCC	23	22.62	27.35	27.42	22.61	0.00	0.00
GCC	24	23.40	26.38	26.50	23.72	0.00	0.00
GCC	25	25.17	24.82	24.91	25.10	0.00	0.00
GCC	26	23.13	26.56	26.77	23.54	0.00	0.00
GCC	27	23.19	26.64	26.72	23.45	0.00	0.00
GCC	28	24.27	25.73	25.64	24.36	0.00	0.00
GCC	29	23.44	26.66	26.39	23.51	0.00	0.00
GCC	30	23.36	26.64	26.51	23.49	0.00	0.00
GCC	31	24.27	25.80	25.53	24.40	0.00	0.00
GCC	32	22.57	27.15	27.03	23.25	0.00	0.00
GCC	33	23.56	26.68	26.42	23.34	0.00	0.00
GCC	34	24.48	25.54	25.47	24.51	0.00	0.00
GCC	35	23.29	26.57	26.64	23.51	0.00	0.00
GCC	36	23.60	26.45	26.32	23.63	0.00	0.00
GCC	37	24.12	26.00	25.61	24.26	0.00	0.00
GCC	38	22.81	27.30	26.89	23.00	0.00	0.00
GCC	39	22.56	27.37	27.12	22.96	0.00	0.00
GCC	40	23.75	26.19	25.97	24.09	0.00	0.00
GCC	41	23.00	27.05	27.02	22.93	0.00	0.00
GCC	42	23.42	26.81	26.35	23.42	0.00	0.00
GCC	43	24.53	25.51	25.37	24.59	0.00	0.00
GCC	44	23.12	26.87	26.64	23.38	0.00	0.00
GCC	45	24.08	26.16	25.80	23.96	0.00	0.00
GCC	46	24.31	25.75	25.72	24.22	0.00	0.00
GCC	47	23.40	26.44	26.48	23.67	0.00	0.00
GCC	48	23.71	26.23	26.21	23.85	0.00	0.00
GCC	49	24.44	25.73	25.21	24.62	0.00	0.00
GCC	50	23.60	26.68	26.12	23.60	0.00	0.00
GCC	51	23.77	26.30	26.09	23.84	0.00	0.00
GCC	52	24.39	25.64	25.52	24.45	0.00	0.00
GCC	53	23.89	26.16	25.81	24.14	0.00	0.00
GCC	54	24.08	26.25	25.74	23.93	0.00	0.00
GCC	55	24.38	25.63	25.43	24.56	0.00	0.00
GCC	56	23.95	26.04	26.00	24.01	0.00	0.00
GCC	57	24.07	25.95	25.91	24.07	0.00	0.00
GCC	58	24.95	25.18	24.90	24.97	0.00	0.00
GCC	59	23.69	26.66	26.13	23.52	0.00	0.00
GCC	60	24.00	26.28	25.66	24.06	0.00	0.00
GCC	61	24.19	25.87	25.75	24.19	0.00	0.00
